year,team_id,team_name,team_abbreviation
1996,1610612741,Chicago Bulls,CHI
1997,1610612741,Chicago Bulls,CHI
1998,1610612741,Chicago Bulls,CHI
1999,1610612759,San Antonio Spurs,SAS
2000,1610612747,Los Angeles Lakers,LAL
2001,1610612747,Los Angeles Lakers,LAL
2002,1610612747,Los Angeles Lakers,LAL
2003,1610612759,San Antonio Spurs,SAS
2004,1610612765,Detroit Pistons,DET
2005,1610612759,San Antonio Spurs,SAS
2006,1610612748,Miami Heat,MIA
2007,1610612759,San Antonio Spurs,SAS
2008,1610612738,Boston Celtics,BOS
2009,1610612747,Los Angeles Lakers,LAL
2010,1610612747,Los Angeles Lakers,LAL
2011,1610612742,Dallas Mavericks,DAL
2012,1610612748,Miami Heat,MIA
2013,1610612748,Miami Heat,MIA
2014,1610612759,San Antonio Spurs,SAS
2015,1610612744,Golden State Warriors,GSW
2016,1610612739,Cleveland Cavaliers,CLE
2017,1610612744,Golden State Warriors,GSW
2018,1610612744,Golden State Warriors,GSW
2019,1610612761,Toronto Raptors,TOR
2020,1610612747,Los Angeles Lakers,LAL
2021,1610612749,Milwaukee Bucks,MIL
2022,1610612744,Golden State Warriors,GSW
2023,1610612743,Denver Nuggets,DEN
2024,1610612738,Boston Celtics,BOS




