year,name,team_id,team_name,team_abbreviation
1996,Michael Jordan,1610612741,Chicago Bulls,CHI
1997,Karl Malone,1610612762,Utah Jazz,UTA
1998,Michael Jordan,1610612741,Chicago Bulls,CHI
1999,Karl Malone,1610612762,Utah Jazz,UTA
2000,Shaquille O'Neal,1610612747,Los Angeles Lakers,LAL
2001,Allen Iverson,1610612755,Philadelphia 76ers,PHI
2002,Tim Duncan,1610612759,San Antonio Spurs,SAS
2003,Tim Duncan,1610612759,San Antonio Spurs,SAS
2004,Kevin Garnett,1610612750,Minnesota Timberwolves,MIN
2005,Steve Nash,1610612756,Phoenix Suns,PHX
2006,Steve Nash,1610612756,Phoenix Suns,PHX
2007,Dirk Nowitzki,1610612742,Dallas Mavericks,DAL
2008,Kobe Bryant,1610612747,Los Angeles Lakers,LAL
2009,LeBron James,1610612739,Cleveland Cavaliers,CLE
2010,LeBron James,1610612739,Cleveland Cavaliers,CLE
2011,Derrick Rose,1610612741,Chicago Bulls,CHI
2012,LeBron James,1610612748,Miami Heat,MIA
2013,LeBron James,1610612748,Miami Heat,MIA
2014,Kevin Durant,1610612760,Oklahoma City Thunder,OKC
2015,Stephen Curry,1610612744,Golden State Warriors,GSW
2016,Stephen Curry,1610612744,Golden State Warriors,GSW
2017,Russell Westbrook,1610612760,Oklahoma City Thunder,OKC
2018,James Harden,1610612745,Houston Rockets,HOU
2019,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,MIL
2020,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,MIL
2021,Nikola Jokic,1610612743,Denver Nuggets,DEN
2022,Nikola Jokic,1610612743,Denver Nuggets,DEN
2023,Joel Embiid,1610612755,Philadelphia 76ers,PHI
2024,Nikola Jokic,1610612743,Denver Nuggets,DEN
