iter	RMSE
0	3406.045315
1	3339.628061
2	3279.370523
3	3222.812268
4	3170.365365
5	3123.106233
6	3073.752132
7	3022.201148
8	2978.644428
9	2941.136003
10	2906.997898
11	2875.003908
12	2841.588003
13	2809.168354
14	2777.177923
15	2747.928153
16	2722.643317
17	2700.107121
18	2679.053201
19	2659.108611
20	2641.198548
21	2615.422678
22	2597.932217
23	2579.556075
24	2565.933752
25	2552.308752
26	2539.022836
27	2525.590591
28	2506.466914
29	2495.868428
30	2487.085849
31	2476.247328
32	2466.516885
33	2448.439977
34	2431.8452
35	2423.385453
36	2415.675005
37	2408.794725
38	2399.918628
39	2386.278607
40	2380.288402
41	2374.566073
42	2367.940604
43	2362.121001
44	2356.73644
45	2345.164466
46	2339.362602
47	2334.248645
48	2329.575242
49	2323.924414
50	2319.467944
51	2315.093583
52	2308.884856
53	2305.050519
54	2300.829502
55	2291.571654
56	2287.154655
57	2283.709032
58	2279.399209
59	2275.615356
60	2271.594255
61	2266.16922
62	2262.653218
63	2259.795075
64	2257.03211
65	2254.529599
66	2247.275588
67	2244.263239
68	2240.564642
69	2238.263139
70	2235.212711
71	2231.742402
72	2229.542186
73	2225.874498
74	2223.824365
75	2221.621243
76	2218.560441
77	2217.004607
78	2213.374574
79	2210.3951
80	2201.494231
81	2198.708248
82	2196.004396
83	2193.415002
84	2191.721869
85	2189.948548
86	2186.218828
87	2180.21353
88	2177.829483
89	2175.635064
90	2174.038863
91	2172.626528
92	2170.712862
93	2168.987539
94	2166.474476
95	2164.241842
96	2160.909212
97	2159.310931
98	2157.848835
99	2156.414108
100	2154.887429
101	2153.655414
102	2152.178566
103	2150.937674
104	2149.570652
105	2148.318888
106	2146.412911
107	2145.082095
108	2143.320356
109	2141.002822
110	2139.758683
111	2136.516997
112	2135.341926
113	2132.985194
114	2131.769636
115	2130.237796
116	2128.361266
117	2127.179873
118	2125.862233
119	2123.894448
120	2121.121894
121	2119.641889
122	2117.25347
123	2115.275865
124	2114.325551
125	2113.070673
126	2112.25229
127	2110.566741
128	2109.549396
129	2108.604663
130	2107.501694
131	2106.576773
132	2104.151635
133	2103.186152
134	2101.718145
135	2100.303056
136	2093.559337
137	2092.644582
138	2091.08138
139	2090.143822
140	2089.581188
141	2087.947111
142	2087.134185
143	2084.679695
144	2083.760914
145	2080.936146
146	2079.975132
147	2079.304235
148	2077.670505
149	2076.217136
150	2075.369221
151	2069.857682
152	2065.282459
153	2060.90855
154	2059.228556
155	2055.030688
156	2053.986981
157	2052.640132
158	2049.680175
159	2047.695896
160	2046.346818
161	2044.439435
162	2043.426313
163	2042.122405
164	2039.525749
165	2038.735762
166	2038.056799
167	2036.632516
168	2035.567601
169	2033.619552
170	2032.603917
171	2031.150495
172	2029.071078
173	2027.507057
174	2025.484921
175	2020.586493
176	2019.825747
177	2018.364521
178	2017.139705
179	2016.005197
180	2015.254122
181	2014.169421
182	2012.916461
183	2011.96777
184	2011.187303
185	2010.473353
186	2008.943904
187	2007.469161
188	2006.089517
189	2002.372871
190	1999.157977
191	1997.608004
192	1996.570744
193	1995.121845
194	1994.314436
195	1988.321179
196	1986.775651
197	1985.532407
198	1981.592985
199	1980.082055
200	1978.979921
201	1978.176336
202	1976.686907
203	1975.532059
204	1973.389718
205	1971.860819
206	1966.309915
207	1965.090099
208	1963.771631
209	1962.211919
210	1960.423428
211	1958.984399
212	1957.865156
213	1956.705472
214	1955.61858
215	1954.249782
216	1953.286595
217	1952.217491
218	1951.292255
219	1949.947438
220	1947.496828
221	1946.693443
222	1944.920277
223	1943.405798
224	1941.443949
225	1940.002056
226	1938.878211
227	1936.399024
228	1935.600961
229	1934.81196
230	1933.898198
231	1932.953877
232	1931.806832
233	1930.423642
234	1925.767261
235	1923.801796
236	1922.770529
237	1921.573709
238	1920.140102
239	1918.698786
240	1917.504679
241	1916.335019
242	1915.311508
243	1914.05848
244	1912.983742
245	1911.032823
246	1910.290639
247	1909.186452
248	1908.16316
249	1906.928166
250	1906.270089
251	1902.091408
252	1900.424162
253	1899.434823
254	1898.686852
255	1897.773491
256	1897.172508
257	1895.67766
258	1895.0169
259	1893.845658
260	1892.948159
261	1891.913125
262	1891.058185
263	1890.572672
264	1889.768727
265	1888.278439
266	1887.465399
267	1886.114234
268	1884.927426
269	1884.08512
270	1882.672215
271	1881.843035
272	1880.836918
273	1880.098521
274	1877.747297
275	1877.292997
276	1876.40299
277	1875.60083
278	1874.888752
279	1873.512714
280	1872.488954
281	1871.693839
282	1870.456006
283	1868.913709
284	1867.882059
285	1866.947214
286	1866.096858
287	1864.970461
288	1864.337602
289	1863.070142
290	1862.615373
291	1861.920597
292	1861.288653
293	1859.859141
294	1858.850515
295	1858.016725
296	1856.972759
297	1855.93918
298	1855.078134
299	1854.355352
300	1853.494944
301	1852.452502
302	1851.767357
303	1850.768755
304	1849.98603
305	1849.141082
306	1848.415729
307	1847.16584
308	1846.545799
309	1845.583178
310	1844.798784
311	1844.1802
312	1843.377361
313	1842.651252
314	1841.74072
315	1840.032663
316	1838.951763
317	1838.464494
318	1837.912653
319	1836.827659
320	1836.051142
321	1834.779582
322	1834.050983
323	1833.164678
324	1832.588654
325	1831.878152
326	1831.328187
327	1830.602926
328	1829.968664
329	1829.379748
330	1828.584575
331	1828.01365
332	1826.564535
333	1825.462
334	1824.682539
335	1823.771318
336	1822.695393
337	1821.876883
338	1821.182961
339	1820.280487
340	1819.403629
341	1818.636728
342	1817.564501
343	1816.572754
344	1815.67764
345	1815.084269
346	1814.441991
347	1811.98646
348	1811.358754
349	1810.555709
350	1809.940931
351	1808.847978
352	1808.126507
353	1806.844187
354	1806.255984
355	1805.512381
356	1804.922075
357	1804.293555
358	1802.363829
359	1801.605071
360	1801.026169
361	1799.883143
