iter	Passed	Remaining
0	13	6879
1	18	4646
2	22	3717
3	26	3313
4	31	3087
5	35	2914
6	38	2741
7	43	2654
8	47	2597
9	52	2566
10	56	2492
11	60	2453
12	64	2431
13	68	2380
14	72	2335
15	76	2321
16	80	2282
17	84	2253
18	87	2220
19	92	2208
20	95	2182
21	99	2157
22	102	2130
23	107	2124
24	110	2105
25	114	2086
26	118	2067
27	122	2059
28	125	2044
29	129	2027
30	132	2010
31	136	1996
32	140	1991
33	144	1976
34	148	1966
35	151	1953
36	156	1952
37	160	1947
38	163	1936
39	167	1925
40	171	1922
41	175	1911
42	178	1899
43	182	1888
44	186	1885
45	190	1883
46	194	1877
47	198	1868
48	203	1872
49	207	1864
50	210	1856
51	214	1847
52	219	1852
53	223	1843
54	226	1833
55	230	1825
56	234	1822
57	239	1822
58	243	1822
59	247	1814
60	251	1811
61	255	1807
62	259	1803
63	263	1795
64	267	1791
65	271	1784
66	275	1779
67	279	1773
68	283	1772
69	287	1765
70	291	1759
71	294	1752
72	299	1749
73	302	1743
74	306	1737
75	310	1730
76	314	1728
77	318	1724
78	322	1720
79	326	1716
80	330	1711
81	335	1709
82	339	1705
83	343	1700
84	347	1695
85	350	1689
86	354	1682
87	358	1676
88	362	1675
89	367	1672
90	371	1667
91	374	1662
92	379	1660
93	384	1658
94	388	1654
95	392	1651
96	397	1650
97	401	1647
98	407	1650
99	412	1650
100	417	1648
101	422	1647
102	426	1645
103	431	1644
104	436	1642
105	441	1642
106	447	1642
107	451	1639
108	457	1641
109	462	1639
110	467	1637
111	472	1637
112	477	1634
113	482	1633
114	487	1632
115	492	1629
116	497	1627
117	501	1623
118	506	1621
119	511	1618
120	515	1614
121	520	1612
122	525	1610
123	530	1607
124	535	1605
125	540	1604
126	545	1601
127	550	1598
128	555	1598
129	560	1594
130	565	1593
131	571	1593
132	576	1589
133	581	1587
134	586	1586
135	591	1583
136	596	1580
137	602	1581
138	609	1581
139	614	1580
140	620	1580
141	625	1576
142	634	1583
143	642	1589
144	649	1591
145	654	1587
146	660	1586
147	665	1583
148	671	1582
149	686	1601
150	691	1597
151	696	1594
152	702	1594
153	708	1592
154	713	1588
155	719	1586
156	724	1582
157	729	1579
158	734	1574
159	738	1569
160	743	1564
161	748	1561
162	753	1557
163	758	1553
164	763	1549
165	768	1546
166	773	1542
167	779	1539
168	784	1536
169	789	1532
170	794	1529
171	800	1526
172	805	1521
173	810	1518
174	816	1515
175	821	1511
176	825	1506
177	830	1503
178	836	1499
179	851	1513
180	862	1520
181	871	1522
182	883	1531
183	891	1531
184	903	1537
185	915	1544
186	929	1555
187	935	1553
188	941	1549
189	947	1546
190	953	1542
191	971	1559
192	978	1556
193	984	1552
194	989	1547
195	994	1542
196	999	1536
197	1003	1530
198	1009	1526
199	1013	1520
200	1018	1514
201	1023	1510
202	1028	1504
203	1032	1498
204	1037	1492
205	1042	1487
206	1046	1481
207	1050	1475
208	1056	1470
209	1060	1464
210	1064	1458
211	1069	1452
212	1073	1446
213	1078	1440
214	1082	1434
215	1087	1429
216	1091	1423
217	1096	1417
218	1100	1412
219	1105	1406
220	1109	1400
221	1113	1394
222	1118	1389
223	1124	1384
224	1128	1379
225	1133	1373
226	1137	1368
227	1142	1362
228	1146	1356
229	1151	1351
230	1155	1345
231	1159	1339
232	1164	1334
233	1169	1329
234	1174	1324
235	1178	1318
236	1183	1313
237	1187	1307
238	1192	1301
239	1196	1296
240	1201	1290
241	1205	1285
242	1209	1279
243	1215	1274
244	1219	1269
245	1224	1264
246	1228	1258
247	1234	1254
248	1238	1248
249	1243	1243
250	1248	1238
251	1252	1233
252	1258	1228
253	1264	1224
254	1268	1219
255	1273	1213
256	1278	1208
257	1283	1204
258	1287	1198
259	1292	1192
260	1297	1187
261	1301	1182
262	1305	1176
263	1310	1171
264	1314	1165
265	1319	1160
266	1323	1155
267	1328	1150
268	1333	1145
269	1337	1139
270	1342	1134
271	1347	1129
272	1351	1123
273	1355	1118
274	1360	1113
275	1365	1107
276	1369	1102
277	1373	1097
278	1378	1092
279	1382	1086
280	1387	1080
281	1391	1075
282	1396	1071
283	1401	1065
284	1405	1060
285	1410	1055
286	1415	1050
287	1419	1044
288	1424	1039
289	1428	1034
290	1432	1029
291	1436	1023
292	1441	1018
293	1446	1013
294	1450	1007
295	1454	1002
296	1460	997
297	1464	992
298	1468	987
299	1473	982
300	1477	976
301	1481	971
302	1486	966
303	1490	961
304	1495	955
305	1499	950
306	1504	945
307	1509	940
308	1513	935
309	1518	930
310	1522	925
311	1527	920
312	1531	915
313	1537	910
314	1542	905
315	1546	900
316	1551	895
317	1555	890
318	1559	885
319	1563	879
320	1568	874
321	1573	869
322	1577	864
323	1582	859
324	1586	854
325	1590	849
326	1594	843
327	1599	838
328	1603	833
329	1607	828
330	1612	823
331	1617	818
332	1621	813
333	1626	808
334	1630	802
335	1634	797
336	1639	792
337	1643	787
338	1648	782
339	1652	777
340	1656	772
341	1661	767
342	1665	762
343	1670	757
344	1674	752
345	1680	747
346	1685	743
347	1689	738
348	1695	733
349	1700	728
350	1704	723
351	1708	718
352	1713	713
353	1718	708
354	1723	703
355	1727	698
356	1732	693
357	1736	688
358	1740	683
359	1745	678
360	1749	673
361	1754	668
362	1758	663
363	1763	658
364	1767	653
365	1771	648
366	1777	644
367	1781	639
368	1786	634
369	1791	629
370	1795	624
371	1800	619
372	1804	614
373	1809	609
374	1814	604
375	1819	599
376	1824	595
377	1829	590
378	1834	585
379	1839	580
380	1844	576
381	1849	571
382	1853	566
383	1859	561
384	1864	556
385	1868	551
386	1875	547
387	1880	542
388	1885	538
389	1891	533
390	1901	530
391	1906	525
392	1911	520
393	1916	515
394	1922	510
395	1927	506
396	1932	501
397	1936	496
398	1941	491
399	1946	486
400	1952	481
401	1956	477
402	1962	472
403	1967	467
404	1972	462
405	1977	457
406	1982	452
407	1987	448
408	1991	443
409	1995	438
410	2000	433
411	2004	428
412	2008	423
413	2012	418
414	2017	413
415	2022	408
416	2026	403
417	2030	398
418	2035	393
419	2039	388
420	2043	383
421	2048	378
422	2052	373
423	2056	368
424	2061	363
425	2066	358
426	2070	353
427	2073	348
428	2078	343
429	2082	339
430	2087	334
431	2091	329
432	2096	324
433	2101	319
434	2106	314
435	2111	309
436	2116	305
437	2121	300
438	2126	295
439	2133	290
440	2137	286
441	2142	281
442	2148	276
443	2153	271
444	2157	266
445	2163	261
446	2168	257
447	2173	252
448	2179	247
449	2184	242
450	2188	237
451	2194	232
452	2198	228
453	2203	223
454	2209	218
455	2213	213
456	2218	208
457	2223	203
458	2229	199
459	2233	194
460	2237	189
461	2243	184
462	2247	179
463	2251	174
464	2257	169
465	2262	165
466	2266	160
467	2270	155
468	2275	150
469	2279	145
470	2283	140
471	2287	135
472	2292	130
473	2296	125
474	2300	121
475	2305	116
476	2309	111
477	2313	106
478	2317	101
479	2322	96
480	2326	91
481	2330	87
482	2334	82
483	2338	77
484	2343	72
485	2347	67
486	2351	62
487	2356	57
488	2360	53
489	2364	48
490	2368	43
491	2373	38
492	2377	33
493	2381	28
494	2386	24
495	2390	19
496	2395	14
497	2399	9
498	2404	4
499	2408	0
